Date;Food_Price_Index;Meat
1990-01;64.1;73.4
1990-02;64.5;76.0
1990-03;63.8;77.8
1990-04;65.8;80.4
1990-05;64.4;81.0
1990-06;63.7;83.1
1990-07;62.5;83.4
1990-08;61.5;83.7
1990-09;61.0;84.5
1990-10;61.1;85.4
1990-11;61.9;86.2
1990-12;61.9;83.7
1991-01;60.8;79.8
1991-02;61.5;81.7
1991-03;62.0;80.7
1991-04;60.7;79.5
1991-05;60.6;81.2
1991-06;61.0;80.4
1991-07;61.8;82.6
1991-08;61.4;79.4
1991-09;62.1;79.8
1991-10;64.3;82.3
1991-11;64.4;81.9
1991-12;64.1;78.3
1992-01;64.8;79.3
1992-02;65.7;80.9
1992-03;66.1;81.4
1992-04;64.5;77.4
1992-05;64.8;78.2
1992-06;65.6;78.0
1992-07;64.4;78.6
1992-08;62.8;77.5
1992-09;63.5;77.1
1992-10;61.5;73.5
1992-11;62.4;75.5
1992-12;61.0;72.8
1993-01;61.3;72.6
1993-02;61.2;72.1
1993-03;62.9;75.7
1993-04;62.5;74.8
1993-05;62.0;74.9
1993-06;61.5;77.6
1993-07;61.9;77.0
1993-08;60.5;73.8
1993-09;60.9;74.3
1993-10;61.2;73.5
1993-11;63.0;72.4
1993-12;64.3;70.1
1994-01;64.5;69.5
1994-02;64.1;70.9
1994-03;64.5;72.5
1994-04;63.7;72.9
1994-05;65.6;76.1
1994-06;65.2;74.4
1994-07;63.9;75.0
1994-08;66.2;76.6
1994-09;69.3;77.9
1994-10;69.9;78.1
1994-11;73.2;81.9
1994-12;73.1;78.2
1995-01;72.9;78.6
1995-02;74.4;83.1
1995-03;75.1;84.1
1995-04;74.0;84.9
1995-05;74.0;83.8
1995-06;75.1;81.0
1995-07;79.5;87.4
1995-08;78.0;87.1
1995-09;78.3;88.4
1995-10;80.4;88.8
1995-11;79.8;87.2
1995-12;78.0;81.2
1996-01;77.0;79.8
1996-02;77.5;79.9
1996-03;78.6;82.9
1996-04;80.8;80.8
1996-05;82.4;83.1
1996-06;80.5;83.5
1996-07;80.2;86.1
1996-08;79.9;88.8
1996-09;76.9;88.7
1996-10;74.1;85.9
1996-11;72.5;84.9
1996-12;71.4;81.0
1997-01;70.9;78.8
1997-02;71.0;78.7
1997-03;72.8;82.4
1997-04;73.4;83.5
1997-05;72.8;83.5
1997-06;70.2;80.0
1997-07;68.4;79.1
1997-08;69.8;80.1
1997-09;70.0;79.7
1997-10;69.8;75.5
1997-11;70.3;75.5
1997-12;68.0;69.5
1998-01;67.4;67.3
1998-02;67.6;68.3
1998-03;67.4;67.8
1998-04;66.8;67.8
1998-05;66.4;66.2
1998-06;64.2;66.2
1998-07;64.3;66.7
1998-08;62.4;64.2
1998-09;61.9;64.6
1998-10;62.7;64.1
1998-11;62.6;62.7
1998-12;62.1;63.3
1999-01;61.0;62.1
1999-02;58.4;62.8
1999-03;57.0;62.8
1999-04;55.8;61.1
1999-05;55.4;61.7
1999-06;54.6;62.1
1999-07;52.6;62.3
1999-08;54.4;64.0
1999-09;54.6;62.6
1999-10;53.2;60.0
1999-11;53.2;60.9
1999-12;51.9;58.9
2000-01;52.6;59.9
2000-02;52.3;60.2
2000-03;52.8;61.9
2000-04;53.4;61.3
2000-05;53.6;62.4
2000-06;53.8;61.7
2000-07;54.0;61.5
2000-08;53.2;59.2
2000-09;52.6;58.4
2000-10;53.4;58.6
2000-11;53.8;59.3
2000-12;54.4;59.3
2001-01;53.8;57.3
2001-02;54.2;60.9
2001-03;55.1;63.6
2001-04;54.6;64.1
2001-05;55.4;64.5
2001-06;54.8;62.5
2001-07;56.5;62.9
2001-08;56.6;63.0
2001-09;55.4;62.9
2001-10;54.2;61.3
2001-11;54.7;59.5
2001-12;54.3;58.2
2002-01;53.5;58.4
2002-02;51.7;56.6
2002-03;52.0;59.1
2002-04;51.0;56.3
2002-05;50.5;55.2
2002-06;51.3;55.4
2002-07;52.0;55.1
2002-08;53.4;55.0
2002-09;54.9;54.4
2002-10;55.2;52.6
2002-11;56.3;52.8
2002-12;55.6;51.1
2003-01;56.0;53.1
2003-02;56.5;54.1
2003-03;55.5;54.5
2003-04;55.6;55.7
2003-05;56.3;56.3
2003-06;56.0;56.2
2003-07;56.7;60.5
2003-08;57.6;60.7
2003-09;58.7;63.0
2003-10;60.3;62.7
2003-11;61.8;62.2
2003-12;62.4;61.2
2004-01;64.3;65.9
2004-02;65.0;63.8
2004-03;66.7;66.3
2004-04;67.3;66.3
2004-05;66.4;65.8
2004-06;66.1;68.8
2004-07;65.6;70.7
2004-08;64.5;68.9
2004-09;65.2;69.6
2004-10;64.7;67.7
2004-11;65.4;68.3
2004-12;65.6;68.6
2005-01;65.4;68.6
2005-02;65.9;70.0
2005-03;67.1;70.6
2005-04;65.6;69.3
2005-05;66.3;71.8
2005-06;67.2;73.0
2005-07;67.4;71.9
2005-08;67.5;72.3
2005-09;68.4;73.2
2005-10;69.4;73.3
2005-11;68.8;73.5
2005-12;69.5;73.6
2006-01;69.4;70.0
2006-02;70.4;67.7
2006-03;69.4;66.8
2006-04;69.7;66.2
2006-05;71.0;68.0
2006-06;71.1;70.4
2006-07;72.9;71.8
2006-08;72.9;74.2
2006-09;73.0;74.8
2006-10;74.9;73.6
2006-11;77.5;72.1
2006-12;78.6;70.6
2007-01;78.1;69.6
2007-02;79.6;70.9
2007-03;80.8;72.9
2007-04;83.6;74.8
2007-05;86.2;76.6
2007-06;91.1;78.0
2007-07;95.3;79.2
