Date;Dernier
01/02/2009;510.5
01/03/2009;532.75
01/04/2009;524.25
01/05/2009;637.25
01/06/2009;511.25
01/07/2009;528.25
01/08/2009;471.0
01/09/2009;457.5
01/10/2009;494.25
01/11/2009;586.5
01/12/2009;541.13
01/01/2010;473.13
01/02/2010;519.13
01/03/2010;450.38
01/04/2010;505.13
01/05/2010;458.38
01/06/2010;479.25
01/07/2010;661.38
01/08/2010;689.38
01/09/2010;676.13
01/10/2010;727.38
01/11/2010;689.63
01/12/2010;792.63
01/01/2011;838.63
01/02/2011;816.38
01/03/2011;759.13
01/04/2011;804.13
01/05/2011;787.13
01/06/2011;600.38
01/07/2011;674.88
01/08/2011;788.13
01/09/2011;606.0
01/10/2011;629.25
01/11/2011;614.88
01/12/2011;653.13
01/01/2012;666.63
01/02/2012;667.88
01/03/2012;658.88
01/04/2012;652.63
01/05/2012;645.63
01/06/2012;758.88
01/07/2012;892.63
01/08/2012;888.63
01/09/2012;895.63
01/10/2012;866.88
01/11/2012;863.5
01/12/2012;778.5
01/01/2013;781.63
01/02/2013;716.38
01/03/2013;684.5
01/04/2013;730.25
01/05/2013;706.63
01/06/2013;656.88
01/07/2013;663.63
01/08/2013;654.88
01/09/2013;679.13
01/10/2013;667.38
01/11/2013;668.25
01/12/2013;605.13
01/01/2014;555.0
01/02/2014;600.38
01/03/2014;697.13
01/04/2014;721.5
01/05/2014;628.13
01/06/2014;576.75
01/07/2014;530.38
01/08/2014;563.38
01/09/2014;478.63
01/10/2014;531.25
01/11/2014;578.38
01/12/2014;589.88
01/01/2015;503.25
01/02/2015;512.0
01/03/2015;512.88
01/04/2015;475.38
01/05/2015;477.88
01/06/2015;616.63
01/07/2015;498.13
01/08/2015;485.38
01/09/2015;512.25
01/10/2015;522.13
01/11/2015;475.63
01/12/2015;469.38
01/01/2016;479.38
01/02/2016;452.88
01/03/2016;474.5
01/04/2016;489.25
01/05/2016;463.75
01/06/2016;448.0
01/07/2016;407.25
01/08/2016;387.5
01/09/2016;401.75
01/10/2016;415.25
01/11/2016;403.0
01/12/2016;407.75
01/01/2017;421.0
01/02/2017;443.75
01/03/2017;425.75
01/04/2017;432.62
01/05/2017;429.5
01/06/2017;525.75
01/07/2017;474.25
01/08/2017;435.5
01/09/2017;448.25
01/10/2017;418.5
01/11/2017;434.38
01/12/2017;427.5
01/01/2018;451.5
01/02/2018;492.5
01/03/2018;451.75
01/04/2018;511.25
01/05/2018;524.75
01/06/2018;502.0
01/07/2018;554.5
01/08/2018;546.5
01/09/2018;510.5
01/10/2018;501.25
01/11/2018;515.5
01/12/2018;503.0
01/01/2019;516.5
01/02/2019;458.75
01/03/2019;458.5
01/04/2019;429.0
01/05/2019;504.88
01/06/2019;526.0
01/07/2019;486.5
01/08/2019;461.38
01/09/2019;495.5
01/10/2019;508.75
01/11/2019;542.12
01/12/2019;559.38
01/01/2020;553.38
01/02/2020;525.25
01/03/2020;567.75
01/04/2020;523.5
01/05/2020;521.62
01/06/2020;490.75
01/07/2020;531.0
01/08/2020;546.5
01/09/2020;578.12
01/10/2020;598.5
01/11/2020;581.0
01/12/2020;641.75
01/01/2021;662.62
01/02/2021;660.12
01/03/2021;618.75
01/04/2021;735.3
01/05/2021;664.12
01/06/2021;680.25
01/07/2021;703.5
01/08/2021;724.0
01/09/2021;725.75
01/10/2021;772.75
01/11/2021;773.75
01/12/2021;770.75
01/01/2022;761.25
01/02/2022;928.0
01/03/2022;1006.0
01/04/2022;1055.75
01/05/2022;1088.0
01/06/2022;884.0
01/07/2022;807.75
01/08/2022;831.5
01/09/2022;921.5
01/10/2022;882.25
01/11/2022;842.0
