Date;MaizeIndex
01-01-2000;227.75
01-02-2000;224.0
01-03-2000;244.5
01-04-2000;232.0
01-05-2000;233.0
01-06-2000;195.75
01-07-2000;188.5
01-08-2000;192.75
01-09-2000;197.75
01-10-2000;206.0
01-11-2000;212.75
01-12-2000;231.75
01-01-2001;217.0
01-02-2001;222.5
01-03-2001;212.0
01-04-2001;207.5
01-05-2001;200.5
01-06-2001;197.25
01-07-2001;226.25
01-08-2001;227.75
01-09-2001;214.5
01-10-2001;205.5
01-11-2001;212.5
01-12-2001;209.0
01-01-2002;213.0
01-02-2002;207.5
01-03-2002;209.0
01-04-2002;200.5
01-05-2002;220.5
01-06-2002;233.0
01-07-2002;256.5
01-08-2002;268.0
01-09-2002;259.0
01-10-2002;252.0
01-11-2002;241.5
01-12-2002;239.75
01-01-2003;240.25
01-02-2003;233.25
01-03-2003;237.0
01-04-2003;231.25
01-05-2003;243.0
01-06-2003;223.75
01-07-2003;212.0
01-08-2003;241.75
01-09-2003;228.75
01-10-2003;252.5
01-11-2003;248.75
01-12-2003;248.75
01-01-2004;281.5
01-02-2004;303.0
01-03-2004;325.5
01-04-2004;320.25
01-05-2004;299.75
01-06-2004;262.5
01-07-2004;225.5
01-08-2004;237.75
01-09-2004;216.25
01-10-2004;213.0
01-11-2004;203.75
01-12-2004;213.0
01-01-2005;204.5
01-02-2005;222.75
01-03-2005;221.0
01-04-2005;213.5
01-05-2005;230.75
01-06-2005;222.25
01-07-2005;248.25
01-08-2005;216.5
01-09-2005;217.75
01-10-2005;210.25
01-11-2005;201.75
01-12-2005;225.0
01-01-2006;229.0
01-02-2006;238.75
01-03-2006;247.25
01-04-2006;249.0
01-05-2006;262.5
01-06-2006;246.0
01-07-2006;256.0
01-08-2006;248.0
01-09-2006;275.25
01-10-2006;334.75
01-11-2006;390.5
01-12-2006;398.5
01-01-2007;415.75
01-02-2007;435.5
01-03-2007;385.5
01-04-2007;367.5
01-05-2007;391.5
01-06-2007;340.0
01-07-2007;342.25
01-08-2007;340.0
01-09-2007;389.25
01-10-2007;392.75
01-11-2007;401.5
01-12-2007;466.75
01-01-2008;513.25
01-02-2008;556.5
01-03-2008;582.0
01-04-2008;612.25
01-05-2008;612.5
01-06-2008;737.75
01-07-2008;607.5
01-08-2008;585.0
01-09-2008;506.5
01-10-2008;419.25
01-11-2008;365.75
01-12-2008;417.75
01-01-2009;390.25
01-02-2009;359.0
01-03-2009;414.75
01-04-2009;403.5
01-05-2009;446.25
01-06-2009;354.5
01-07-2009;349.5
01-08-2009;329.75
01-09-2009;356.75
01-10-2009;379.25
01-11-2009;417.5
01-12-2009;424.25
01-01-2010;367.75
01-02-2010;389.0
01-03-2010;356.5
01-04-2010;375.25
01-05-2010;369.0
01-06-2010;362.75
01-07-2010;406.75
01-08-2010;439.25
01-09-2010;508.25
01-10-2010;595.0
01-11-2010;544.0
01-12-2010;636.5
01-01-2011;670.0
01-02-2011;731.0
01-03-2011;701.0
01-04-2011;756.5
01-05-2011;717.5
01-06-2011;648.0
01-07-2011;668.75
01-08-2011;767.5
01-09-2011;605.75
01-10-2011;659.0
01-11-2011;608.0
01-12-2011;654.75
01-01-2012;645.25
01-02-2012;658.0
01-03-2012;643.25
01-04-2012;634.25
01-05-2012;525.5
01-06-2012;628.5
01-07-2012;805.25
01-08-2012;802.75
01-09-2012;756.25
01-10-2012;755.75
01-11-2012;748.0
01-12-2012;698.25
01-01-2013;740.5
01-02-2013;719.5
01-03-2013;695.25
01-04-2013;683.25
01-05-2013;662.0
01-06-2013;679.25
01-07-2013;499.0
01-08-2013;495.0
01-09-2013;441.5
01-10-2013;428.25
01-11-2013;415.25
01-12-2013;422.0
01-01-2014;434.0
01-02-2014;457.5
01-03-2014;502.0
01-04-2014;514.0
01-05-2014;465.75
01-06-2014;424.25
01-07-2014;357.0
01-08-2014;359.0
01-09-2014;320.75
01-10-2014;376.75
01-11-2014;375.75
01-12-2014;397.0
01-01-2015;370.0
01-02-2015;384.5
01-03-2015;376.25
01-04-2015;362.5
01-05-2015;351.5
01-06-2015;414.0
01-07-2015;371.0
01-08-2015;363.75
01-09-2015;387.75
01-10-2015;382.25
01-11-2015;365.0
01-12-2015;358.75
01-01-2016;372.0
01-02-2016;353.5
01-03-2016;351.5
01-04-2016;390.25
01-05-2016;404.75
01-06-2016;358.75
01-07-2016;334.5
01-08-2016;301.5
01-09-2016;336.75
01-10-2016;354.75
01-11-2016;336.75
01-12-2016;352.0
01-01-2017;359.75
01-02-2017;366.75
01-03-2017;364.25
01-04-2017;358.0
01-05-2017;372.0
01-06-2017;370.5
01-07-2017;370.75
01-08-2017;342.25
01-09-2017;355.25
01-10-2017;345.75
01-11-2017;341.75
01-12-2017;350.75
01-01-2018;361.5
01-02-2018;374.5
01-03-2018;387.75
01-04-2018;392.5
01-05-2018;394.0
01-06-2018;350.25
01-07-2018;372.25
01-08-2018;351.0
01-09-2018;356.25
