Area;Year;Area_harvested_Wheat;Yield_Wheat;Production_Wheat;Indice_PrixProd;PrixProd
Afghanistan;2010.0;2354000.0;19252.0;4532000.0;25.92;
Afghanistan;2011.0;2232000.0;15179.0;3388000.0;26.29;
Afghanistan;2012.0;2512000.0;20104.0;5050000.0;26.7;
Afghanistan;2013.0;2552922.0;20248.0;5169235.0;35.74;
Afghanistan;2014.0;2653746.0;20237.0;5370259.0;72.39;
Afghanistan;2015.0;2128104.0;21959.0;4673040.0;111.1;
Afghanistan;2016.0;2300210.0;19803.0;4555110.0;116.51;
Afghanistan;2017.0;2104377.0;20342.0;4280776.0;112.41;
Afghanistan;2018.0;1635000.0;22100.0;3613300.0;111.54;
Afghanistan;2019.0;2334000.0;20951.0;4890000.0;96.2;
Afghanistan;2020.0;2668000.0;19434.0;5185000.0;86.08;
Afghanistan;2021.0;;;;62.99;
Bangladesh;2010.0;376256.0;23959.0;901490.0;97.38;295.2
Bangladesh;2011.0;373708.0;26012.0;972085.0;92.5;263.4
Bangladesh;2012.0;358181.0;27789.0;995356.0;104.34;269.1
Bangladesh;2013.0;416416.0;30138.0;1255000.0;106.48;287.8
Bangladesh;2014.0;429770.0;30319.0;1303000.0;103.02;280.1
Bangladesh;2015.0;436814.0;30860.0;1348000.0;102.11;276.6
Bangladesh;2016.0;444805.0;30310.0;1348186.0;94.87;254.7
Bangladesh;2017.0;415339.0;31576.0;1311473.0;102.06;267.9
Bangladesh;2018.0;351213.0;31302.0;1099373.0;110.6;279.8
Bangladesh;2019.0;330348.0;30780.0;1016811.0;120.83;302.1
Bangladesh;2020.0;332254.0;30970.0;1029000.0;121.14;301.3
Bangladesh;2021.0;;;;130.79;
Burundi;2010.0;12346.0;7317.0;9034.0;58.96;
Burundi;2011.0;14035.0;6973.0;9787.0;65.77;
Burundi;2012.0;9434.0;4448.0;4196.0;66.36;573.3
Burundi;2013.0;8828.0;7276.0;6423.0;66.6;533.7
Burundi;2014.0;9766.0;5763.0;5628.0;95.41;768.7
Burundi;2015.0;9740.0;6834.0;6656.0;101.41;
Burundi;2016.0;20668.0;3861.0;7980.0;103.18;
Burundi;2017.0;20240.0;3982.0;8060.0;111.95;
Burundi;2018.0;16145.0;14092.0;22751.0;106.91;
Burundi;2019.0;7645.0;6402.0;4894.0;103.15;
Burundi;2020.0;12037.0;7153.0;8610.0;110.24;
Burundi;2021.0;;;;112.0;
Canada;2010.0;8296100.0;28085.0;2.32996E7;80.97;177.1
Canada;2011.0;8552500.0;29568.0;2.5288E7;104.1;237.0
Canada;2012.0;9479100.0;28743.0;2.7246E7;112.62;253.9
Canada;2013.0;1.04472E7;35980.0;3.75891E7;115.6;252.9
Canada;2014.0;9553500.0;30818.0;2.94421E7;94.41;192.3
Canada;2015.0;9558300.0;28925.0;2.76474E7;103.01;181.4
Canada;2016.0;8976300.0;35805.0;3.21399E7;102.58;174.4
Canada;2017.0;8983300.0;33815.0;3.0377236E7;104.1;180.7
Canada;2018.0;9880900.0;32742.0;3.23519E7;109.13;189.7
Canada;2019.0;9655600.0;33835.0;3.26698E7;106.1;180.1
Canada;2020.0;1.00178E7;35120.0;3.5183E7;108.28;181.9
Canada;2021.0;;;;110.2;
France;2010.0;5426820.0;70405.0;3.8207432E7;120.43;246.4
France;2011.0;5407328.0;66563.0;3.5992792E7;125.14;268.7
France;2012.0;5297826.0;71512.0;3.7885744E7;143.69;285.2
France;2013.0;5319778.0;72656.0;3.8651472E7;119.17;244.4
France;2014.0;5297210.0;73530.0;3.89502E7;105.47;216.2
France;2015.0;5480208.0;78008.0;4.2750028E7;100.92;172.9
France;2016.0;5542247.0;52896.0;2.9316332E7;93.61;160.0
France;2017.0;5332084.0;72538.0;3.8677896E7;90.57;158.0
France;2018.0;5234090.0;67680.0;3.542414E7;106.93;195.1
France;2019.0;5244250.0;77428.0;4.060496E7;106.02;183.3
France;2020.0;4512420.0;66803.0;3.014411E7;113.61;200.4
France;2021.0;;;;121.19;
Honduras;2010.0;2069.0;5510.0;1140.0;93.2;
Honduras;2011.0;2158.0;5422.0;1170.0;120.05;
Honduras;2012.0;2139.0;5489.0;1174.0;108.26;
Honduras;2013.0;2157.0;5498.0;1186.0;93.9;
Honduras;2014.0;2202.0;5422.0;1194.0;100.32;
Honduras;2015.0;2243.0;5408.0;1213.0;101.13;
Honduras;2016.0;2274.0;5383.0;1224.0;98.56;
Honduras;2017.0;2301.0;5402.0;1243.0;100.89;
Honduras;2018.0;2299.0;5437.0;1250.0;93.52;
Honduras;2019.0;2291.0;5408.0;1239.0;86.65;
Honduras;2020.0;2297.0;5416.0;1244.0;88.27;
Honduras;2021.0;;;;85.69;
Iraq;2010.0;1383303.0;19872.0;2748840.0;120.51;
Iraq;2011.0;1436614.0;19552.0;2808900.0;128.76;585.5
Iraq;2012.0;1266391.0;24181.0;3062312.0;128.95;588.3
Iraq;2013.0;1811295.0;23068.0;4178379.0;130.64;596.1
Iraq;2014.0;2109455.0;23964.0;5055111.0;109.4;499.1
Iraq;2015.0;924311.0;28617.0;2645061.0;100.94;460.0
Iraq;2016.0;920096.0;33181.0;3052939.0;89.66;403.6
Iraq;2017.0;1047531.0;28392.0;2974136.0;77.82;349.7
Iraq;2018.0;783721.0;27789.0;2177885.0;81.39;366.1
Iraq;2019.0;1543316.0;28144.0;4343473.0;81.39;366.3
Iraq;2020.0;2143421.0;29105.0;6238392.0;80.26;358.2
Iraq;2021.0;;;;79.4;
Kazakhstan;2010.0;1.3138E7;7336.0;9638400.0;65.77;148.1
Kazakhstan;2011.0;1.3686428E7;16609.0;2.2732068E7;87.36;197.8
Kazakhstan;2012.0;1.2410935E7;7929.0;9841128.0;81.1;180.5
Kazakhstan;2013.0;1.2953532E7;10762.0;1.3940809E7;94.94;207.1
Kazakhstan;2014.0;1.1923108E7;10901.0;1.2996865E7;91.24;169.0
Kazakhstan;2015.0;1.1569536E7;11882.0;1.3746967E7;100.38;150.3
Kazakhstan;2016.0;1.2373452E7;12111.0;1.4985379E7;108.38;105.1
Kazakhstan;2017.0;1.1911989E7;12427.0;1.4802865E7;115.31;117.4
Kazakhstan;2018.0;1.135438E7;12281.0;1.3944108E7;120.78;116.3
Kazakhstan;2019.0;1.1296643E7;10137.0;1.1451649E7;185.55;160.9
Kazakhstan;2020.0;1.2057071E7;11825.0;1.425795E7;235.4;189.2
Kazakhstan;2021.0;;;;284.84;
Kenya;2010.0;160043.0;31991.0;511994.0;81.12;367.7
Kenya;2011.0;131509.0;20415.0;268482.0;84.01;339.8
Kenya;2012.0;148703.0;29720.0;441944.0;100.85;428.5
Kenya;2013.0;162900.0;27602.0;449641.0;104.26;434.8
Kenya;2014.0;147210.0;15549.0;228900.0;97.31;397.5
Kenya;2015.0;120256.0;19841.0;238600.0;99.16;362.8
Kenya;2016.0;153119.0;14022.0;214700.0;103.53;366.3
Kenya;2017.0;131309.0;12581.0;165200.0;155.49;
Kenya;2018.0;133147.0;25280.0;336600.0;194.83;
Kenya;2019.0;139307.0;26287.0;366200.0;212.14;
Kenya;2020.0;132231.0;30606.0;404700.0;236.9;
Kenya;2021.0;;;;261.66;
Luxembourg;2010.0;14009.0;59586.0;83474.0;106.26;210.6
Luxembourg;2011.0;13897.0;55292.0;76839.0;121.3;252.3
Luxembourg;2012.0;13500.0;58665.0;79198.0;154.24;296.5
Luxembourg;2013.0;14300.0;63676.0;91057.0;112.01;222.5
Luxembourg;2014.0;12665.0;61542.0;77943.0;99.84;198.2
Luxembourg;2015.0;14494.0;62825.0;91058.0;104.25;173.0
Luxembourg;2016.0;13808.0;50745.0;70069.0;95.9;158.7
Luxembourg;2017.0;14185.0;54833.0;77781.0;100.25;169.5
Luxembourg;2018.0;12870.0;61888.0;79650.0;119.83;211.7
Luxembourg;2019.0;13360.0;61572.0;82260.0;105.73;177.1
Luxembourg;2020.0;11930.0;60687.0;72400.0;114.81;196.2
Luxembourg;2021.0;;;;117.62;
Madagascar;2010.0;3634.0;23924.0;8694.0;92.95;
Madagascar;2011.0;4186.0;23889.0;10000.0;104.6;
Madagascar;2012.0;4174.0;23958.0;10000.0;103.28;
Madagascar;2013.0;2081.0;24027.0;5000.0;110.56;
Madagascar;2014.0;2087.0;23958.0;5000.0;107.65;
Madagascar;2015.0;2089.0;23935.0;5000.0;96.39;
Madagascar;2016.0;2087.0;23958.0;5000.0;95.96;
